"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w"
"WV",0.764255853035605,1.84814072589624,37.0293368047291,88.9133150815426,1.35348512519663,0.765702115847506,2.28047700734843,0.501186565610968,0.1554527001499,0.1554527001499,0.2538211574292,21.9772689659218,65.4545096896118,2.17550657102463,94.1483310746219,78.3045701135186,0.00926263303177697,0.00351533663254186
"ND",0.605675067322309,1.21185890499892,38.2551092285986,42.0197187640148,3.17019671529523,1.57067755146471,5.44326276524457,1.21276221619763,1.16408515838597,0.574738586488914,2.04888875994915,22.280060112864,77.2126790165614,10.9879963065558,42.0611473054701,41.9128361097397,0.0146969669134532,0.00314935005288284
"WI",0.64804204728626,1.47319040368709,39.0604195653157,71.9484397810522,3.20556008655373,1.72729011888246,5.42467848638705,1.25210521922619,0.578016199272072,0.42302164998951,0.978580436291092,23.0816484768319,72.4895722807865,8.33228147680631,74.4906700783544,67.01988158558,0.0184458939337054,0.00324606513358503
"OK",0.667076518314537,1.39927766484438,41.63527645079,88.7691472225235,3.07551615857834,1.77850114470589,5.20456468929234,1.28049965491281,0.725128664832462,0.611374128838945,1.22804310596999,24.6033958910581,71.9988097125778,7.65824695582165,94.331038835299,78.1055112807843,0.0179177456696043,0.00586307051530072
"SD",0.7441496834855,1.46852492750912,43.5805104833468,49.7572398731243,2.77300157561051,1.45669611908837,4.67583315018392,1.20848824236231,0.269195831573221,0.213791173581802,0.439193587729555,25.8454098670047,82.9609021762622,10.8203870264377,53.5146311708978,45.7079828851536,0.0177469510851074,0.00406936458002462
"KS",0.584937595839891,1.14516578434104,44.5719494383646,76.7666818362139,2.76391404818749,1.54209716072393,4.72017782798394,1.23193037207798,0.754268627704786,0.544498497303452,1.31969432690023,26.0992364477116,79.886689597409,13.2254618823436,78.8632641824612,72.385758661383,0.0141076451079424,0.00353549256963033
"NE",0.664581428824723,1.19523195876289,45.1413471493413,35.7214526160296,3.55466859625728,1.78574217497608,6.02493242129794,1.60462529104512,0.834782806305609,0.435600301247465,1.42263162822458,26.6330836404541,89.8576129035318,8.64958582161435,33.093173131878,41.2411179501041,0.0191789942969632,0.00310172414506143
"MT",0.937302012342327,1.46574440052701,47.2829714993521,60.8941703923146,1.20154349153421,0.647384038751741,2.05794421053928,0.568125466654441,0.121423742523445,0.111041358875085,0.230521187414246,27.6064561782054,87.7571012949094,6.82751540041049,62.5635667225301,57.4615559568168,0.00832726721545541,0.00430398080798819
"WY",0.565247089009458,0.980392156862745,48.6233296480465,58.328862961359,1.23235728265216,0.663888242369589,2.08690163691016,0.599213143985666,0.483759721737205,0.292092876645875,0.820471438057314,28.7130516066321,90.2581346894952,7.58201173147954,58.3288629343441,58.3288630294089,0.00587463866652614,0.00155505141172751
"AR",0.681596229849895,1.17045558294531,50.9252277974609,89.0174012640574,3.5635190253869,2.12357068919946,6.00971540633696,1.81473018128414,0.796526351760121,0.749460697486706,1.32850853035534,30.1966076358723,85.4565468676841,4.61178858663058,94.0177423762287,80.5477494645568,0.0212406107222338,0.00844985293942218
"TN",0.720898122752034,1.06915753547692,54.8455953186714,67.9787164263396,3.71579115743412,2.15803713935846,6.27026898873902,2.03794778109329,0.940308927481997,0.779634219260279,1.57480520437224,32.5017600481464,94.4352506231254,6.48732829628536,69.1659337115236,65.5093456582487,0.0217888722706436,0.00824404239809968
"ID",0.758386640175938,1.01407861722888,60.6595892420996,91.6238349937733,2.64716827485706,1.76528612527932,4.50899232982083,1.60576140207547,0.640665387580396,0.640665387580396,1.11472795652101,35.612422568465,90.9632370118692,15.5013910729409,95.5094859912289,84.1989232147132,0.016283683022162,0.00872939708404563
"HI",0.920891396648219,0.770020533880903,62.6719760609667,71.9135510952463,0.658586502307114,0.407024267631234,1.13216782022273,0.412749175066673,0.300326257489327,0.228971601022085,0.526251466202032,36.4565365393862,99,8.47110865358032,73.3916743038472,68.5123078517251,0.00317825340143742,0.00141255706730552
"UT",0.607603558400508,0.794047767912967,62.8296184534043,52.369416517549,2.3820786436457,1.49775099727657,4.03579093126226,1.49665092306262,0.758247441853717,0.691551683823091,1.28830258786156,37.0844513145908,99,8.21240529086936,52.0115211696064,53.4301757603212,0.0118841232480276,0.00355587939704762
"AK",0.495468754624343,0.543885971492873,71.1189676407567,94.5872823712474,1.02485789395161,0.778006810762641,1.81525147358895,0.728868353963187,0.483102866143094,0.483102866143094,0.898638064921063,40.1524727878135,93.6840582730522,3.13004194901584,96.6262980687972,89.588221238165,0.0039642127278568,0.00136696990615752
